Date	Time	Media	Sample	OD600	Ex485Em535	Ex550Em650
2025_04_25	330_PM	M9	33	0.31451044	383540	5355.5
2025_04_25	330_PM	M9	33	0.340022261	388601	4213.5
2025_04_25	330_PM	M9	34	0.180372499	472020	92525.5
2025_04_25	330_PM	M9	34	0.170433244	467968	83579.5
2025_04_25	330_PM	M9	35	0.083272972	124494	337765.5
2025_04_25	330_PM	M9	35	0.07271055	130199	339556.5
2025_04_25	330_PM	M9	36	0.109527703	3340652	272173.5
2025_04_25	330_PM	M9	36	0.116210268	3293175	256889.5
2025_04_25	330_PM	M9	37	0.129404673	2741823	289616.5
2025_04_25	330_PM	M9	37	0.129515876	2683793	290295.5
2025_04_25	330_PM	M9	62	0.236717882	327515	176633.5
2025_04_25	330_PM	M9	62	0.227849386	319978	171834.5
2025_04_25	330_PM	M9	63	0.046575113	121518	432492.5
2025_04_25	330_PM	M9	63	0.04679019	119650	424436.5
2025_04_25	330_PM	M9	64	0.194082536	356392	222249.5
2025_04_25	330_PM	M9	64	0.191574044	344648	211148.5
2025_04_25	330_PM	M9	65	0.219105815	460595	57552.5
2025_04_25	330_PM	M9	65	0.211670301	457415	55696.5
2025_04_25	330_PM	M9	96	0.150035988	915827	78968.5
2025_04_25	330_PM	M9	96	0.152846385	932277	74652.5
2025_04_25	330_PM	M9	97	0.160974887	313880	96285.5
2025_04_25	330_PM	M9	97	0.16410746	307429	99845.5
2025_04_25	330_PM	M9	98	0.159200614	374788	64173.5
2025_04_25	330_PM	M9	98	0.150193882	359915	65269.5
2025_04_25	330_PM	M9	99	0.125875233	380122	486240.5
2025_04_25	330_PM	M9	99	0.128937499	380823	460961.5
2025_04_25	330_PM	M9	100	0.133998437	925943	53511.5
2025_04_25	330_PM	M9	100	0.131730754	907801	53613.5
2025_04_25	330_PM	M9	101	0.083825541	213203	580322.5
2025_04_25	330_PM	M9	101	0.079010854	214531	568916.5
2025_04_25	330_PM	M9	102	0.039901329	150774	278669.5
2025_04_25	330_PM	M9	102	0.036420775	149301	298007.5
2025_04_25	330_PM	M9	103	0.095881863	127365	561958.5
2025_04_25	330_PM	M9	103	0.088100334	126373	564755.5
2025_04_25	330_PM	M9	104	0.15735654	304167	252860.5
2025_04_25	330_PM	M9	104	0.156520341	309355	257666.5
2025_04_25	330_PM	M9	105	0.031422881	307689	308046.5
2025_04_25	330_PM	M9	105	0.02879067	302606	283337.5
2025_04_25	330_PM	M9	106	0.15732188	184643	831538.5
2025_04_25	330_PM	M9	106	0.147196685	173729	855281.5
2025_04_25	330_PM	M9	107	0.059512876	196156	552908.5
2025_04_25	330_PM	M9	107	0.054904673	197248	526837.5
2025_04_25	330_PM	M9	108	0.028086262	151597	297747.5
2025_04_25	330_PM	M9	108	0.022179813	145254	294551.5
2025_04_25	330_PM	M9	109	0.026285292	122195	406204.5
2025_04_25	330_PM	M9	109	0.02267425	123473	391516.5
2025_04_25	330_PM	M9	112	0.186380803	139916	246903.5
2025_04_25	330_PM	M9	112	0.170833244	136630	258767.5
2025_04_25	330_PM	M9	63	0.308033244	295093	949191.5
2025_04_25	330_PM	M9	63	0.323764207	286439	893484.5
2025_04_25	330_PM	M9	103	0.616765987	327498	1165880.5
2025_04_25	330_PM	M9	103	0.576722062	319487	1163210.5
2025_04_25	330_PM	M9	108	0.071204335	347520	822998.5
2025_04_25	330_PM	M9	108	0.067003736	349884	797335.5
2025_04_25	330_PM	M9	109	0.052280938	280507	1010580.5
2025_04_25	330_PM	M9	109	0.050717115	274756	1007434.5
2025_04_25	330_PM	M9	Blank	-0.0028574	6723	-2052.5
2025_04_25	330_PM	M9	Blank	0.00333204	-2609	237.5
2025_04_25	330_PM	M9	Blank	-0.0012403	-3140	1118.5
2025_04_25	330_PM	M9	Blank	0.00076569	-974	696.5
2025_04_25	530_PM	M9	33	0.436068181	513258.5	5194.75
2025_04_25	530_PM	M9	33	0.455804339	506946.5	2162.75
2025_04_25	530_PM	M9	34	0.326226041	861369.5	154197.75
2025_04_25	530_PM	M9	34	0.308146433	858969.5	149737.75
2025_04_25	530_PM	M9	35	0.227607919	163647.5	422562.75
2025_04_25	530_PM	M9	35	0.212945915	167357.5	439355.75
2025_04_25	530_PM	M9	36	0.257610606	5800673.5	358441.75
2025_04_25	530_PM	M9	36	0.269817607	5761097.5	362966.75
