Number of Files,MSE,Name
1,-2.310318732,La Fleur et al
1,-3.490639535,Urtecho et al
1,-1.328090174,Hossain et al
1,-2.49664681,Yu et al
1,-1.12376958,Lagator et al 36N
1,-2.279032314,Lagator et al Pl
1,-1.856041199,Lagator et al Pr
1,-0.019440282,Anderson et al
1,-3.281246552,De Novo Designs
2,-3.774648256,"La Fleur et al, Urtecho et al"
2,-1.394944598,"La Fleur et al, Hossain et al"
2,-3.942562453,"La Fleur et al, Yu et al"
2,-2.152679765,"La Fleur et al, Lagator et al 36N"
2,-3.574358757,"La Fleur et al, Lagator et al Pl"
2,-3.132034963,"La Fleur et al, Lagator et al Pr"
2,-2.260134453,"La Fleur et al, Anderson et al"
2,-3.207155467,"La Fleur et al, De Novo Designs"
2,-3.897970502,"Urtecho et al, Hossain et al"
2,-3.724331597,"Urtecho et al, Yu et al"
2,-3.739365131,"Urtecho et al, Lagator et al 36N"
2,-3.680529735,"Urtecho et al, Lagator et al Pl"
2,-4.246492506,"Urtecho et al, Lagator et al Pr"
2,-4.016212853,"Urtecho et al, Anderson et al"
2,-3.51993882,"Urtecho et al, De Novo Designs"
2,-2.171157585,"Hossain et al, Yu et al"
2,-1.664888489,"Hossain et al, Lagator et al 36N"
2,-2.952826718,"Hossain et al, Lagator et al Pl"
2,-3.174410852,"Hossain et al, Lagator et al Pr"
2,-1.287906474,"Hossain et al, Anderson et al"
2,-3.45690146,"Hossain et al, De Novo Designs"
2,-1.949563381,"Yu et al, Lagator et al 36N"
2,-2.603347304,"Yu et al, Lagator et al Pl"
2,-2.10296485,"Yu et al, Lagator et al Pr"
2,-3.385731453,"Yu et al, Anderson et al"
2,-3.358313239,"Yu et al, De Novo Designs"
2,-3.364666842,"Lagator et al 36N, Lagator et al Pl"
2,-3.136070058,"Lagator et al 36N, Lagator et al Pr"
2,-1.477554897,"Lagator et al 36N, Anderson et al"
2,-2.370727439,"Lagator et al 36N, De Novo Designs"
2,-1.949919809,"Lagator et al Pl, Lagator et al Pr"
2,-2.836866352,"Lagator et al Pl, Anderson et al"
2,-3.747343516,"Lagator et al Pl, De Novo Designs"
2,-1.965039799,"Lagator et al Pr, Anderson et al"
2,-3.308780691,"Lagator et al Pr, De Novo Designs"
2,-3.569241614,"Anderson et al, De Novo Designs"
3,-5.231029185,"La Fleur et al, Urtecho et al, Hossain et al"
3,-3.330553797,"La Fleur et al, Urtecho et al, Yu et al"
3,-3.609305064,"La Fleur et al, Urtecho et al, Lagator et al 36N"
3,-4.969241475,"La Fleur et al, Urtecho et al, Lagator et al Pl"
3,-4.186394399,"La Fleur et al, Urtecho et al, Lagator et al Pr"
3,-4.146763736,"La Fleur et al, Urtecho et al, Anderson et al"
3,-3.901281587,"La Fleur et al, Urtecho et al, De Novo Designs"
3,-3.046522048,"La Fleur et al, Hossain et al, Yu et al"
3,-2.585558534,"La Fleur et al, Hossain et al, Lagator et al 36N"
3,-3.424454572,"La Fleur et al, Hossain et al, Lagator et al Pl"
3,-3.314946471,"La Fleur et al, Hossain et al, Lagator et al Pr"
3,-1.945314995,"La Fleur et al, Hossain et al, Anderson et al"
3,-2.47329692,"La Fleur et al, Hossain et al, De Novo Designs"
3,-4.166271964,"La Fleur et al, Yu et al, Lagator et al 36N"
3,-3.632577617,"La Fleur et al, Yu et al, Lagator et al Pl"
3,-3.486429294,"La Fleur et al, Yu et al, Lagator et al Pr"
3,-4.034085215,"La Fleur et al, Yu et al, Anderson et al"
3,-3.653575284,"La Fleur et al, Yu et al, De Novo Designs"
3,-4.319867537,"La Fleur et al, Lagator et al 36N, Lagator et al Pl"
3,-3.789964832,"La Fleur et al, Lagator et al 36N, Lagator et al Pr"
3,-1.923741116,"La Fleur et al, Lagator et al 36N, Anderson et al"
3,-2.808047381,"La Fleur et al, Lagator et al 36N, De Novo Designs"
3,-3.087457447,"La Fleur et al, Lagator et al Pl, Lagator et al Pr"
3,-3.811971381,"La Fleur et al, Lagator et al Pl, Anderson et al"
3,-3.869217935,"La Fleur et al, Lagator et al Pl, De Novo Designs"
3,-3.427446983,"La Fleur et al, Lagator et al Pr, Anderson et al"
3,-3.083268829,"La Fleur et al, Lagator et al Pr, De Novo Designs"
3,-3.07064902,"La Fleur et al, Anderson et al, De Novo Designs"
3,-3.755952235,"Urtecho et al, Hossain et al, Yu et al"
3,-3.982765268,"Urtecho et al, Hossain et al, Lagator et al 36N"
3,-4.434783365,"Urtecho et al, Hossain et al, Lagator et al Pl"
3,-4.757245588,"Urtecho et al, Hossain et al, Lagator et al Pr"
3,-4.324759007,"Urtecho et al, Hossain et al, Anderson et al"
3,-4.122991129,"Urtecho et al, Hossain et al, De Novo Designs"
